iter	RMSE
0	14.16036185
1	13.27690627
2	12.53058
3	11.77897463
4	11.10508595
5	10.5539865
6	10.03318215
7	9.588027141
8	9.160845061
9	8.738379856
10	8.378368097
11	8.084957909
12	7.827774745
13	7.554556427
14	7.292395378
15	7.04754748
16	6.831655248
17	6.678900125
18	6.527871446
19	6.39287906
20	6.283048432
21	6.17509321
22	6.06496651
23	5.975135836
24	5.894687871
25	5.839463201
26	5.771318623
27	5.722061986
28	5.666855145
29	5.609232738
30	5.558400615
31	5.517322805
32	5.468386456
33	5.432289983
34	5.394453125
35	5.363927715
36	5.335798163
37	5.314657215
38	5.291096598
39	5.265120985
40	5.248059535
41	5.227988442
42	5.212004781
43	5.190246117
44	5.174602104
45	5.156106201
46	5.127784559
47	5.107307785
48	5.08861577
49	5.063913127
50	5.037093934
51	5.016672093
52	5.014395988
53	4.992237154
54	4.984571549
55	4.974903679
56	4.962540617
57	4.945931194
58	4.928842881
59	4.91632996
60	4.895885127
61	4.875070515
62	4.860018799
63	4.834998793
64	4.826770345
65	4.814903544
66	4.807837877
67	4.802141974
68	4.788095313
69	4.774875492
70	4.762199204
71	4.748960881
72	4.743967104
73	4.737774501
74	4.719643772
75	4.709190283
76	4.696631814
77	4.6873645
78	4.676929402
79	4.67081059
80	4.667568891
81	4.659518989
82	4.644426155
83	4.629568376
84	4.617655675
85	4.610606672
86	4.603697602
87	4.587244449
88	4.571878392
89	4.567108909
90	4.559359593
91	4.544998403
92	4.527163422
93	4.523820288
94	4.51397704
95	4.51307933
96	4.509449703
97	4.50369925
98	4.494531676
99	4.486112099
