iter	RMSE
0	14.68610164
1	14.33560187
2	13.97724969
3	13.62670746
4	13.30058416
5	13.03694602
6	12.75627668
7	12.49232616
8	12.23515192
9	11.94859341
10	11.67982444
11	11.43414199
12	11.21671853
13	11.0051832
14	10.7759321
15	10.53940369
16	10.33454721
17	10.13578292
18	9.933610696
19	9.755057501
20	9.578620387
21	9.429222563
22	9.263471227
23	9.091769483
24	8.934985461
25	8.82089681
26	8.676154557
27	8.551870167
28	8.419471483
29	8.291792125
30	8.184102193
31	8.068128653
32	7.963394614
33	7.848973439
34	7.734203413
35	7.637330709
36	7.544259398
37	7.456599332
38	7.360920314
39	7.282449171
40	7.1952828
41	7.11645322
42	7.039109736
43	6.978076303
44	6.906202009
45	6.847116046
46	6.777375732
47	6.714616322
48	6.653972458
49	6.591353585
50	6.528159486
51	6.472933395
52	6.420369086
53	6.370681673
54	6.323742417
55	6.282292315
56	6.235113887
57	6.200977712
58	6.164109377
59	6.131529115
60	6.098206862
61	6.056486201
62	6.024693406
63	5.989611459
64	5.960367278
65	5.92918384
66	5.905063629
67	5.880913605
68	5.853528488
69	5.827538419
70	5.802446558
71	5.782268068
72	5.761778417
73	5.738097422
74	5.719679535
75	5.699636127
76	5.681744308
77	5.66409578
78	5.64121209
79	5.620573121
80	5.602794473
81	5.58718577
82	5.570134564
83	5.553862173
84	5.541954814
85	5.529911569
86	5.512043776
87	5.496754976
88	5.480940661
89	5.464416817
90	5.449648667
91	5.439331522
92	5.425882657
93	5.409593169
94	5.395534809
95	5.384472253
96	5.37427856
97	5.364592534
98	5.353798612
99	5.340705296
100	5.329337599
101	5.318314801
102	5.306343013
103	5.295486073
104	5.285063117
105	5.276767994
106	5.264432154
107	5.257462753
108	5.246925122
109	5.238344128
110	5.22697021
111	5.217584761
112	5.209405264
113	5.200306766
114	5.193432764
115	5.186146926
116	5.180469346
117	5.174738383
118	5.1657874
119	5.159685918
120	5.15693554
121	5.151308983
122	5.146718711
123	5.141905739
124	5.136828492
125	5.126491478
126	5.12042159
127	5.114897131
128	5.111136236
129	5.104016068
130	5.098354032
131	5.095524977
132	5.088503148
133	5.08487052
134	5.077695892
135	5.073476167
136	5.069084735
137	5.060638194
138	5.057371157
139	5.053375656
140	5.047664964
141	5.042632122
142	5.034489233
143	5.03012979
144	5.023753796
145	5.015331387
146	5.009246466
147	5.005484948
148	4.999226033
149	4.995440642
150	4.988790415
151	4.984986846
152	4.981346672
153	4.974001083
154	4.968282324
155	4.959656785
156	4.953940467
157	4.949463523
158	4.947667271
159	4.939692022
160	4.936921739
161	4.934193243
162	4.929398878
163	4.923978976
164	4.920851749
165	4.915659385
166	4.911259745
167	4.906337498
168	4.902970624
169	4.896748754
170	4.892190627
171	4.886049721
172	4.882813131
173	4.879900084
174	4.873328791
175	4.869614376
176	4.864958052
177	4.860850202
178	4.85761404
179	4.852780067
180	4.846554264
181	4.841535695
182	4.83694444
183	4.834100633
184	4.826497057
185	4.82451633
186	4.820174629
187	4.814843531
188	4.809021728
189	4.806134594
190	4.802278151
191	4.80028337
192	4.796310941
193	4.793678491
194	4.790323996
195	4.783912288
196	4.780805801
197	4.777022941
198	4.772771279
199	4.766301648
200	4.76112437
201	4.759203899
202	4.755588052
203	4.75039417
204	4.747502429
205	4.745036866
206	4.74033308
207	4.739718221
208	4.737735662
209	4.734853723
210	4.730038929
211	4.726588967
212	4.721850886
213	4.716498964
214	4.71336192
215	4.706158728
216	4.701560069
217	4.69711599
218	4.693626994
219	4.68762748
220	4.683523512
221	4.682836466
222	4.677219874
223	4.667725219
224	4.663543689
225	4.660209607
226	4.657462108
227	4.655358871
228	4.650237288
229	4.648374915
230	4.645575906
231	4.64296803
232	4.639058775
233	4.636253563
234	4.629328409
235	4.626104521
236	4.621139637
237	4.615111362
238	4.6090586
239	4.608669173
240	4.606625009
241	4.603553189
242	4.599994685
243	4.596270281
244	4.588264372
245	4.585104968
246	4.582469682
247	4.581219014
248	4.576959556
249	4.573481759
250	4.566600366
251	4.564996962
252	4.559733585
253	4.556004299
254	4.552770168
255	4.550726071
256	4.546785816
257	4.546450549
258	4.543993434
259	4.537046248
260	4.534064599
261	4.533464905
262	4.526743374
263	4.525411552
264	4.519742852
265	4.516852457
266	4.511680559
267	4.509385191
268	4.506956615
269	4.50495398
270	4.499475485
271	4.499132017
272	4.495534675
273	4.49311156
274	4.49104545
275	4.486703223
276	4.478603333
277	4.474299574
278	4.472915644
279	4.472574598
280	4.468397681
281	4.461669662
282	4.459748561
283	4.45769131
284	4.456840226
285	4.454224028
286	4.449992435
287	4.446061342
288	4.440150874
289	4.43326164
290	4.432546043
291	4.427960006
292	4.421504793
293	4.418887942
294	4.415558776
295	4.413354544
296	4.404837209
297	4.401615913
298	4.394349303
299	4.39221758
300	4.390579023
301	4.388089777
302	4.384553035
303	4.379150689
304	4.376648254
305	4.373681434
306	4.367467659
307	4.366283919
308	4.36330319
309	4.357916287
310	4.35416016
311	4.353297062
312	4.347008626
313	4.343641164
314	4.341700735
315	4.339488493
316	4.337748789
317	4.33480509
318	4.332072883
319	4.327852939
320	4.324882294
321	4.321148477
322	4.316382536
323	4.309647397
324	4.306749663
325	4.30389679
326	4.300663079
327	4.297873552
328	4.295107575
329	4.292797562
330	4.290084368
331	4.289819518
332	4.283409529
333	4.28314888
334	4.280245508
335	4.278306136
336	4.269953488
337	4.263613064
338	4.258629318
339	4.255231668
340	4.252931959
341	4.247005065
342	4.245314647
343	4.241678459
344	4.239093109
345	4.233300132
346	4.230534948
347	4.224094379
348	4.22204086
349	4.218529811
350	4.213285712
351	4.210023079
352	4.207831114
353	4.20468339
354	4.201441564
355	4.19529634
356	4.190951315
357	4.186391869
358	4.186351847
