iter	Passed	Remaining
0	1	1175
1	2	1052
2	2	984
3	3	947
4	4	925
5	6	1102
6	7	1124
7	8	1091
8	9	1066
9	10	1055
10	11	1042
11	12	1030
12	13	1049
13	14	1048
14	15	1040
15	16	1023
16	17	1013
17	18	1004
18	19	995
19	21	1044
20	22	1038
21	23	1033
22	24	1023
23	24	1016
24	25	1010
25	26	1004
26	28	1037
27	29	1032
28	30	1026
29	31	1021
30	32	1017
31	33	1010
32	34	1002
33	36	1044
34	37	1035
35	38	1028
36	39	1021
37	40	1017
38	41	1015
39	42	1011
40	43	1022
41	44	1021
42	45	1017
43	47	1027
44	48	1022
45	48	1016
46	50	1031
47	51	1031
48	52	1028
49	53	1021
50	54	1017
51	55	1014
52	56	1009
53	58	1028
54	59	1023
55	60	1016
56	61	1012
57	62	1009
58	62	1004
59	63	998
60	64	994
61	66	1008
62	67	1005
63	68	1001
64	69	999
65	70	1002
66	72	1003
67	74	1021
68	75	1019
69	77	1024
70	78	1020
71	78	1016
72	79	1012
73	81	1021
74	82	1017
75	83	1012
76	84	1009
77	85	1008
78	86	1005
79	87	1001
80	88	1003
81	89	1000
82	90	996
83	91	992
84	91	988
85	92	985
86	93	982
87	94	979
88	96	983
89	97	981
90	98	979
91	98	976
92	99	974
93	101	973
94	101	970
95	103	970
96	104	974
97	105	971
98	106	968
99	107	964
100	107	960
101	108	957
102	109	955
103	111	956
104	111	953
105	112	950
106	113	947
107	114	944
108	115	941
109	116	939
110	116	936
111	118	939
112	119	937
113	120	934
114	121	932
115	122	929
116	122	926
117	123	923
118	124	921
119	125	922
120	126	918
121	127	917
122	128	914
123	129	912
124	129	909
125	130	907
126	131	904
127	132	905
128	133	903
129	134	901
130	135	899
131	136	896
132	137	893
133	137	891
134	138	890
135	139	889
136	141	888
137	141	886
138	142	885
139	143	883
140	144	880
141	145	878
142	146	876
143	147	877
144	148	876
145	149	874
146	150	872
147	151	870
148	151	867
149	152	865
150	153	862
151	154	864
152	155	863
153	156	861
154	157	858
155	158	856
156	159	854
157	159	851
158	160	849
159	161	847
160	162	845
161	163	844
162	164	842
163	164	840
164	165	837
165	166	835
166	167	833
167	168	834
168	169	834
169	170	833
170	171	831
171	172	829
172	173	827
173	173	825
174	174	823
175	175	821
176	176	820
177	177	818
178	178	817
179	178	815
180	179	812
181	180	810
182	181	808
183	181	806
184	182	804
185	183	804
186	184	803
187	185	802
188	186	800
189	187	799
190	188	798
191	189	797
192	190	795
193	190	793
194	191	791
195	192	789
196	193	788
197	194	786
198	195	785
199	195	783
200	196	781
201	197	780
202	198	778
203	198	776
204	200	775
205	200	774
206	201	772
207	202	770
208	203	769
209	203	767
210	204	765
211	205	763
212	206	761
213	207	760
214	207	759
215	208	757
216	209	755
217	210	754
218	211	752
219	211	750
220	212	749
221	213	747
222	214	745
223	214	744
224	215	742
225	216	741
226	217	739
227	217	737
228	218	736
229	219	734
230	220	733
231	220	731
232	221	730
233	222	728
234	223	727
235	224	726
236	225	724
237	225	723
238	226	721
239	227	719
240	228	718
241	228	716
242	229	715
243	230	714
244	231	712
245	232	711
246	232	709
247	233	708
248	234	706
249	235	705
250	235	704
251	236	702
252	237	701
253	238	700
254	239	699
255	240	697
256	240	696
257	241	695
258	242	693
259	243	692
260	243	690
261	244	689
262	245	688
263	246	686
264	247	685
265	247	684
266	248	682
267	249	681
268	250	679
269	250	678
270	251	677
271	252	676
272	253	675
273	254	673
274	255	672
275	255	671
276	256	669
277	257	668
278	258	667
279	259	666
280	259	665
281	260	663
282	261	662
283	262	660
284	262	659
285	263	658
286	264	656
287	265	655
288	265	654
289	266	652
290	267	651
291	268	650
292	268	649
293	269	647
294	270	646
295	271	645
296	271	643
297	272	642
298	273	641
299	274	639
300	275	638
301	275	637
302	276	636
303	277	634
304	277	633
305	278	632
306	279	630
307	280	629
308	280	628
309	281	627
310	282	625
311	283	624
312	284	623
313	284	622
314	285	621
315	286	620
316	287	618
317	287	617
318	288	616
319	289	615
320	290	614
321	291	613
322	291	611
323	292	610
324	293	609
325	294	608
326	295	607
327	295	606
328	296	605
329	297	604
330	298	602
331	299	601
332	299	600
333	300	599
334	301	597
335	301	596
336	302	595
337	303	594
338	304	594
339	305	593
340	306	591
341	306	590
342	308	590
343	308	589
344	309	588
345	310	587
346	311	586
347	312	586
348	313	585
349	314	584
350	315	583
351	316	581
352	316	580
353	317	579
354	318	577
355	318	576
356	319	575
357	320	574
358	320	572
359	321	571
360	322	569
361	322	568
362	323	567
363	323	566
364	324	564
365	325	563
366	325	562
367	326	561
368	327	559
369	327	558
370	328	557
371	329	556
372	329	554
373	330	553
374	331	551
375	331	550
376	332	548
377	332	547
378	333	546
379	334	545
380	334	543
381	335	542
382	335	541
383	336	539
384	336	538
385	337	536
386	338	535
387	338	533
388	339	532
389	339	531
390	340	529
391	340	528
392	341	527
393	341	525
394	342	524
395	342	522
396	343	521
397	343	520
398	344	518
399	344	517
400	345	515
401	345	514
402	346	513
403	346	511
404	347	510
405	347	508
406	348	507
407	349	506
408	349	505
409	350	504
410	350	502
411	351	501
412	351	500
413	352	498
414	352	497
415	353	496
416	354	494
417	354	493
418	354	492
419	355	490
420	356	489
421	356	488
422	357	487
423	357	485
424	358	484
425	358	483
426	359	482
427	359	480
428	360	479
429	360	478
430	361	477
431	361	475
432	362	474
433	362	473
434	363	472
435	364	471
436	364	469
437	365	468
438	365	467
439	366	466
440	366	465
441	367	463
442	367	462
443	368	461
444	368	460
445	369	458
446	369	457
447	370	456
448	371	455
449	371	454
450	371	452
451	372	451
452	372	450
453	373	449
454	373	447
455	374	446
456	374	445
457	375	444
458	375	443
459	376	441
460	376	440
461	377	439
462	377	438
463	378	437
464	379	436
465	379	434
466	380	433
467	380	432
468	381	431
469	381	430
470	382	429
471	382	427
472	383	426
473	383	425
474	384	424
475	384	423
476	385	422
477	385	421
478	386	419
479	386	418
480	387	417
481	387	416
482	388	415
483	388	414
484	389	413
485	389	412
486	390	410
487	390	409
488	391	408
489	391	407
490	392	406
491	392	405
492	393	404
493	393	403
494	394	402
495	394	401
496	395	400
497	395	399
498	396	397
499	396	396
500	397	395
501	397	394
502	398	393
503	398	392
504	399	391
505	399	390
506	400	389
507	400	388
508	401	387
509	401	386
510	402	385
511	402	383
512	403	382
513	403	381
514	404	380
515	404	379
516	405	378
517	405	377
518	406	376
519	406	375
520	407	374
521	407	373
522	408	372
523	408	371
524	409	370
525	409	369
526	410	368
527	410	367
528	411	366
529	411	365
530	412	364
531	412	363
532	413	362
533	413	361
534	414	360
535	414	359
536	415	358
537	415	357
538	416	356
539	416	355
540	417	354
541	418	353
542	418	352
543	419	351
544	419	350
545	420	349
546	420	348
547	421	347
548	421	346
549	422	345
550	422	344
551	423	343
552	423	342
553	424	341
554	424	340
555	425	339
556	425	338
557	426	337
558	426	336
559	427	335
560	427	334
561	428	333
562	428	332
563	429	331
564	429	330
565	430	329
566	430	328
567	431	327
568	431	326
569	432	326
570	432	325
571	433	324
572	433	323
573	434	322
574	434	321
575	435	320
576	435	319
577	436	318
578	436	317
579	437	316
580	437	315
581	438	314
582	438	313
583	439	312
584	439	312
585	440	311
586	440	310
587	441	309
588	441	308
589	442	307
590	442	306
591	443	305
592	443	304
593	444	303
594	444	302
595	445	301
596	445	300
597	446	300
598	446	299
599	447	298
600	447	297
601	448	296
602	448	295
603	449	294
604	449	293
605	450	292
606	450	291
607	451	291
608	451	290
609	452	289
610	452	288
611	453	287
612	453	286
613	454	285
614	454	284
615	455	283
616	455	282
617	456	282
618	456	281
619	457	280
620	457	279
621	458	278
622	458	277
623	459	276
624	459	275
625	460	275
626	460	274
627	461	273
628	461	272
629	462	271
630	462	270
631	463	269
632	463	268
633	464	268
634	464	267
635	465	266
636	465	265
637	466	264
638	466	263
639	467	262
640	467	261
641	468	261
642	468	260
643	469	259
644	469	258
645	470	257
646	470	256
647	471	256
648	471	255
649	472	254
650	472	253
651	473	252
652	473	251
653	474	250
654	474	250
655	475	249
656	476	248
657	476	247
658	477	246
659	477	246
660	478	245
661	478	244
662	479	243
663	479	242
664	480	241
665	480	241
666	481	240
667	481	239
668	482	238
669	482	237
670	483	236
671	483	236
672	484	235
673	484	234
674	485	233
675	485	232
676	486	231
677	486	231
678	487	230
679	487	229
680	488	228
681	488	227
682	489	227
683	489	226
684	490	225
685	490	224
686	491	223
687	491	223
688	492	222
689	492	221
690	493	220
691	493	219
692	494	219
693	494	218
694	495	217
695	495	216
696	496	215
697	496	215
698	497	214
699	498	213
700	498	212
701	499	211
702	499	211
703	500	210
704	500	209
705	501	208
706	501	207
707	502	207
708	502	206
709	503	205
710	503	204
711	504	203
712	504	203
713	505	202
714	505	201
715	506	200
716	506	199
717	507	199
718	507	198
719	508	197
720	508	196
721	509	196
722	509	195
723	510	194
724	510	193
725	511	192
726	511	192
727	512	191
728	512	190
729	513	189
730	514	189
731	514	188
732	515	187
733	515	186
734	516	186
735	516	185
736	517	184
737	517	183
738	518	182
739	518	182
740	519	181
741	519	180
742	520	179
743	520	179
744	521	178
745	521	177
746	522	176
747	522	176
748	523	175
749	523	174
750	524	173
751	524	173
752	525	172
753	525	171
754	526	170
755	526	170
756	527	169
757	527	168
758	528	167
759	529	167
760	529	166
761	530	165
762	530	164
763	531	164
764	531	163
765	532	162
766	532	161
767	533	161
768	533	160
769	534	159
770	534	158
771	535	158
772	535	157
773	536	156
774	536	155
775	537	155
776	537	154
777	538	153
778	538	152
779	539	152
780	539	151
781	540	150
782	540	149
783	541	149
784	542	148
785	542	147
786	543	147
787	544	146
788	544	145
789	545	144
790	545	144
791	546	143
792	546	142
793	547	141
794	547	141
795	548	140
796	548	139
797	549	139
798	549	138
799	550	137
800	551	136
801	551	136
802	552	135
803	552	134
804	553	133
805	553	133
806	554	132
807	554	131
808	555	131
809	555	130
810	556	129
811	556	128
812	557	128
813	557	127
814	558	126
815	558	126
816	559	125
817	559	124
818	560	123
819	560	123
820	561	122
821	561	121
822	562	120
823	562	120
824	563	119
825	563	118
826	564	118
827	565	117
828	565	116
829	566	115
830	566	115
831	567	114
832	567	113
833	568	113
834	568	112
835	569	111
836	569	110
837	570	110
838	570	109
839	571	108
840	571	108
841	572	107
842	572	106
843	573	105
844	573	105
845	574	104
846	574	103
847	575	103
848	575	102
849	576	101
850	576	101
851	577	100
852	577	99
853	578	98
854	578	98
855	579	97
856	579	96
857	580	96
858	581	95
859	581	94
860	582	93
861	582	93
862	583	92
863	583	91
864	584	91
865	584	90
866	584	89
867	585	89
868	586	88
869	586	87
870	587	86
871	587	86
872	588	85
873	588	84
874	589	84
875	589	83
876	590	82
877	590	82
878	591	81
879	591	80
880	592	79
881	592	79
882	593	78
883	593	77
884	594	77
885	594	76
886	595	75
887	595	75
888	596	74
889	597	73
890	597	73
891	598	72
892	598	71
893	599	71
894	599	70
895	600	69
896	600	68
897	600	68
898	601	67
899	602	66
900	602	66
901	603	65
902	603	64
903	604	64
904	604	63
905	605	62
906	605	62
907	606	61
908	606	60
909	607	60
910	607	59
911	608	58
912	608	58
913	609	57
914	609	56
915	610	55
916	610	55
917	611	54
918	611	53
919	612	53
920	612	52
921	613	51
922	613	51
923	614	50
924	614	49
925	615	49
926	615	48
927	616	47
928	616	47
929	617	46
930	617	45
931	618	45
932	618	44
933	619	43
934	619	43
935	620	42
936	620	41
937	621	41
938	621	40
939	622	39
940	622	39
941	623	38
942	623	37
943	624	37
944	624	36
945	625	35
946	625	35
947	626	34
948	626	33
949	627	33
950	627	32
951	628	31
952	628	30
953	629	30
954	629	29
955	629	28
956	630	28
957	631	27
958	631	26
959	632	26
960	632	25
961	633	25
962	633	24
963	634	23
964	634	23
965	635	22
966	635	21
967	636	21
968	636	20
969	636	19
970	637	19
971	637	18
972	638	17
973	638	17
974	639	16
975	639	15
976	640	15
977	640	14
978	641	13
979	641	13
980	642	12
981	642	11
982	643	11
983	643	10
984	644	9
985	644	9
986	645	8
987	645	7
988	646	7
989	646	6
990	647	5
991	647	5
992	648	4
993	648	3
994	649	3
995	649	2
996	650	1
997	650	1
998	651	0
999	651	0
